a = without 沒有	1531693004619	0	4	anonymous	a	  匿名										
a = without 沒有	1531952209574	1	4	atypical	a	  非典型的	1530335057263	1530415672648								
a = without 沒有	1531952216712	0	4	apathetic	a	  麻木不仁										
ab,abs = away 分離	1531612342415	0	4	abstain	v	  避免										
ab,abs = away 分離	1531779421583	0	4	abdicate	v	  放棄, 遜位										
ab,abs = away 分離	1531865304673	0	4	abhorrent	a	  可惡										
able,ible = 能夠 字尾	1531865312703	0	4	credible	a	  可信的										
able,ible = 能夠 字尾	1531871547844	0	4	moveable	a	  活動										
able,ible = 能夠 字尾	1532125029428	0	4	acceptable	a	  接受										
ace,ad,ade,age,al = 抽象名詞 字尾	1531694162083	0	4	menace	n	  威脅										
ace,ad,ade,age,al = 抽象名詞 字尾	1531778916792	0	4	courage	n	  勇氣										
ace,ad,ade,age,al = 抽象名詞 字尾	1531866970242	1	4	Olympiad	n	  奧林匹克	1530932450691	1531261065687								
ace,ad,ade,age,al = 抽象名詞 字尾	1531952281573	0	4	refusal	n	  拒絕										
ad = to, toward 向前	1531606685136	0	4	advance	v	  前進										
ad = to, toward 向前	1531779495478	0	4	admonish	v	  諫,警告										
ad = to, toward 向前	1531952290579	0	4	affectation	n	  做作										
ad = to, toward 向前	1532038122138	1	4	alleviate	v	  緩和	1530335057263	1530569947116								
ain = 人 字尾	1531779502896	0	4	villain	n	  惡棍										
aire = 人 字尾	1531866978410	0	4	billionaire	n	  億萬富翁										
al,ant,ent,ar,ary,ory,ate = 狀態,性質 字尾	1531606725244	0	4	imaginary	a	  假想										
al,ant,ent,ar,ary,ory,ate = 狀態,性質 字尾	1531693134457	0	4	important	a	  重要										
al,ant,ent,ar,ary,ory,ate = 狀態,性質 字尾	1531952313686	0	4	mortal	a	  凡人										
al,ant,ent,ar,ary,ory,ate = 狀態,性質 字尾	1531953384083	0	4	diligent	a	  勤奮										
al,ant,ent,ar,ary,ory,ate = 狀態,性質 字尾	1532038730182	0	4	fortunate	a	  幸運										
ambi,amphi = around,both 周圍,雙	1531871565426	0	4	ambiance	n	  氛圍,環境										
ambul = walk 走	1531693153613	0	4	somnambulant	a	  夢遊										
ambul = walk 走	1531865345578	0	4	ambulatory	a	  動態										
ambul = walk 走	1531865939966	0	4	ambulance	n	  救護車										
an,ian,ean,ese = ...的 字尾	1531607791783	0	4	Canadian	a	  加拿大										
an,ian,ean,ese = ...的 字尾	1531698769518	0	4	Chinese	a	  中文										
ance,ancy,ence,ency = 抽象名詞 字尾	1531952361869	0	4	vacancy	n	  空缺										
ance,ancy,ence,ency = 抽象名詞 字尾	1532038150456	0	4	fluency	n	  流暢										
ant,ent = 人 字尾	1531952369851	0	4	servant	n	  僕人										
ant,ent = 人 字尾	1532126196316	0	4	immigrant	n	  移民										
ante = before 前	1531778961888	0	4	anteroom	n	  接待室										
ante = before 前	1532038155453	0	4	antecedent	n	  先行詞										
anti = against 反對	1531779574588	0	4	antidote	n	  解藥										
anti = against 反對	1531952379775	0	4	antipathy	n	  反感										
arch = first,chief,ancient 第一,最初,首要,古老	1531607805104	0	4	archaeological	a	  考古學的										
arch = first,chief,ancient 第一,最初,首要,古老	1531617898447	0	4	archetype	n	  原型										
arch = first,chief,ancient 第一,最初,首要,古老	1531617903680	1	4	oligarchy	n	  寡頭政治	1530335057263	1530417005836								
arch = first,chief,ancient 第一,最初,首要,古老	1531866039496	3	4	archaeopteryx	n	  始祖鳥	1530335057263	1530416888230	1530417181843							
arch = first,chief,ancient 第一,最初,首要,古老	1531952450579	0	4	archaic	a	  古老										
arch = first,chief,ancient 第一,最初,首要,古老	1531952457176	0	4	archbishop	n	  大主教										
arch = first,chief,ancient 第一,最初,首要,古老	1531953412484	0	4	anarchy	n	  無政府狀態										
arch = first,chief,ancient 第一,最初,首要,古老	1532038193739	0	4	matriarchal	a	  母系										
arch = first,chief,ancient 第一,最初,首要,古老	1532038874102	0	4	patriarch	n	  家長										
ary = 人 字尾	1531866081917	1	4	adversary	n	  對手	1530335057263	1530417029210								
ary = 人 字尾	1531867037419	0	4	secretary	n	  秘書										
ary,ery = 集合體 字尾	1531871583479	0	4	vocabulary	n	  詞彙										
ary,ery = 集合體 字尾	1531951814172	1	4	scenery	n	  風景	1530335057263	1530417242914								
ate,en,fy,ish = 做,造成,使... 字尾	1531694241661	0	4	publish	v	  發布										
ate,en,fy,ish = 做,造成,使... 字尾	1531951832276	0	4	simplify	v	  簡化										
aud = hear 聽	1531951838504	0	4	audiovisual	a	  視聽										
aud = hear 聽	1531951844056	0	4	auditory	a	  聽覺										
aud = hear 聽	1531952491640	0	4	audition	v	  面試										
aud = hear 聽	1532125287424	0	4	audiophile	n	  發燒友										
bel,bene,bon = good,beautiful 好,美麗	1531698791819	0	4	benediction	n	  祝福										
bel,bene,bon = good,beautiful 好,美麗	1531779049395	1	4	embellish	v	  裝飾,潤色,渲染	1530335057263	1530417451178								
bi = two 二	1531779053817	0	4	bilingual	n	  雙語										
bi = two 二	1532039849946	0	4	bicycle	n	  自行車										
bi = two 二	1532126246625	0	4	biennial	n	  兩年一次										
bio = life 生命	1531606278747	0	4	antibiotic	n	  抗生素										
bio = life 生命	1531612400236	0	4	biology	n	  生物學										
bio = life 生命	1531779071657	0	4	biopsy	n	  切片檢查										
bio = life 生命	1531779701699	0	4	autobiography	n	  自傳										
bio = life 生命	1531865461380	0	4	bionic	a	  仿生										
bio = life 生命	1532038908725	0	4	symbiosis	n	  合作關係										
brev,bridg = short 短	1532038924195	0	4	abbreviation	n	  縮寫										
cad,cas,cid = fall,befall 落下,發生,降臨	1531606287882	0	4	decay	v	  衰變										
cad,cas,cid = fall,befall 落下,發生,降臨	1531698803711	0	4	cadaver	n	  屍體										
cad,cas,cid = fall,befall 落下,發生,降臨	1531779091552	0	4	accident	n	  事故										
cad,cas,cid = fall,befall 落下,發生,降臨	1531779102414	0	4	occasion	n	  場合										
cad,cas,cid = fall,befall 落下,發生,降臨	1531779735232	0	4	casualty	n	  受害者										
cad,cas,cid = fall,befall 落下,發生,降臨	1531953456059	0	4	decadence	n	  衰落										
cad,cas,cid = fall,befall 落下,發生,降臨	1531953461273	0	4	casual	a	  隨便										
cad,cas,cid = fall,befall 落下,發生,降臨	1532038297175	0	4	cadence	n	  韻律										
cad,cas,cid = fall,befall 落下,發生,降臨	1532039868744	0	4	coincidence	n	  巧合										
capt,cept,cip = take,seize 拿取	1531606330358	0	4	accept	v	  接受										
capt,cept,cip = take,seize 拿取	1531698808213	0	4	anticipate	v	  預料										
capt,cept,cip = take,seize 拿取	1531867072224	0	4	captive	n	  俘虜										
capt,cept,cip = take,seize 拿取	1531951934130	0	4	captor	n	  捕捉者										
capt,cept,cip = take,seize 拿取	1531951938508	0	4	capable	a	  能										
capt,cept,cip = take,seize 拿取	1531951972350	1	4	deceptively	v	  迷惑	1530335057263	1530421676892								
capt,cept,cip = take,seize 拿取	1532038319821	0	4	capsule	n	  膠囊										
capt,cept,cip = take,seize 拿取	1532125341152	0	4	capture	v	  捕獲										
card,cor,cord,cour = heart 心	1531607153628	0	3	electrocardiogram	n	  心電圖										
card,cor,cord,cour = heart 心	1531607888691	0	4	core	n	  核心										
card,cor,cord,cour = heart 心	1532039884309	0	4	cardiologist	n	  心髒病										
